area_type,area,age_0_4_male,age_5_9_male,age_10_14_male,age_15_19_male,age_20_24_male,age_25_29_male,age_30_34_male,age_35_39_male,age_40_44_male,age_45_49_male,age_50_54_male,age_55_59_male,age_60_64_male,age_65_69_male,age_70_74_male,age_75_79_male,age_80_84_male,age_85_above_male,age_0_4_female,age_5_9_female,age_10_14_female,age_15_19_female,age_20_24_female,age_25_29_female,age_30_34_female,age_35_39_female,age_40_44_female,age_45_49_female,age_50_54_female,age_55_59_female,age_60_64_female,age_65_69_female,age_70_74_female,age_75_79_female,age_80_84_female,age_85_above_female,sex_male,sex_female,agegroup_child,agegroup_working,agegroup_elderly,ethnicity_bumi,ethnicity_chinese,ethnicity_indian,ethnicity_other,religion_muslim,religion_christian,religion_buddhist,religion_hindu,religion_other,religion_atheist,nationality_local,nationality_foreign,marital_never_married,marital_married,marital_widowed,marital_divorced,housing_owned,housing_rented,housing_quarters,labour_working,labour_unemployed,labour_out
district,Kunak,3377,5684,4299,3441,2717,3930,3342,2668,2219,1712,1377,969,690,369,205,109,59,33,3110,5099,3527,2708,2329,2928,2780,2426,1917,1467,1243,861,610,332,153,93,70,40,53.996777611658665,46.00322238834134,36.42750351995122,61.44891353257951,2.123582947469264,92.01823068832536,1.79385298585953,0.2308051887343695,5.957111137080752,95.98362678356293,3.411086757725749,0.508034197959154,0.0479003672361488,0.0435457883964989,0.0058061051195331,49.682841507845495,50.317158492154505,40.865671641791046,54.23880597014925,3.4695752009184844,1.4259471871412168,,,,,,
district,Tongod,2549,3080,2381,1736,1583,2163,2221,2140,1749,1167,878,553,409,199,100,107,52,59,2338,2768,2115,1594,1400,1820,1803,1798,1315,809,591,411,347,178,130,87,52,60,54.1060315380656,45.8939684619344,35.63473866454541,61.969491366805485,2.395769968649104,98.91546687828288,0.7330990439481541,0.0831349431281411,0.2682991346408192,53.02278789013148,46.184081231575504,0.383697534041458,0.3462636282813158,0.0187169528800711,0.0444527630901689,61.91334050816527,38.08665949183473,29.51916781843311,66.98188695715429,2.6260274969084163,0.8729177275041827,,,,,,
district,Putatan,2681,3475,3283,2966,3387,3429,3105,2947,2474,2131,1822,1498,1113,661,332,150,84,52,2473,3363,3053,2672,2638,3202,3001,3059,2570,2074,1698,1286,923,610,296,155,82,66,51.72138175582393,48.27861824417607,26.635276336632224,69.74902268532648,3.6157009780413016,91.64907859505432,6.229327453142227,0.4630650496141125,1.6585289021893213,79.68929386289983,17.24433593466161,2.751013646074029,0.1249800177297234,0.0741160570257662,0.116260481609045,92.2672247169784,7.732775283021611,37.606990014265335,57.469488032968776,2.9719448407037565,1.9515771120621328,,,,,,
district,Telupid,1294,1831,1419,1056,976,1389,1522,1901,1588,1407,727,482,171,108,55,35,16,15,1201,1885,1411,996,938,1271,1398,1496,1020,657,409,245,130,83,46,36,10,17,54.69033206798674,45.30966793201327,30.91891522177764,67.64132553606238,1.4397592421599807,95.53636516570404,0.8130993102674816,0.487859586160489,3.162675937867997,53.87640641564926,45.76792859341336,0.1846722068328716,0.0786566806880749,0.0,0.0923361034164358,60.986286378714816,39.013713621285184,41.19104240982957,55.89080459770115,1.7538644470868014,1.1642885453824812,,,,,,
district,Kalabakan,2563,3408,2250,1919,2102,2451,2681,2641,2205,1718,1157,627,439,191,87,39,8,17,2305,2991,1967,1616,1619,2027,2229,2139,1737,1238,756,513,286,124,64,35,24,22,54.99118165784832,45.00881834215168,32.1278140885984,66.60441954559602,1.2677663658055816,98.4216524216524,0.4159544159544159,0.0284900284900284,1.1339031339031338,92.04896773524224,7.457205104263928,0.0622471210706504,0.136943666355431,0.0020749040356883,0.2925614690320572,36.41456582633053,63.58543417366946,30.538518352011817,65.35756719437398,2.9510934138274303,1.1528210397867764,,,,,,
district,Kuching,18687,25239,24737,27311,28430,28065,25448,23373,19907,18332,16437,16212,12009,9909,6411,3920,2089,1150,18033,23675,23052,24923,26642,27132,25014,22711,20351,18496,17172,16048,12701,10456,6763,4085,2553,1732,50.50286849254356,49.49713150745644,21.901166274078516,70.04440213064568,8.05443159527581,62.82767160413065,36.49962952332,0.4275501144806317,0.245148758068715,40.64198422534287,32.7021281834522,24.590572959841104,0.2698598993770569,0.3982239147741729,1.397230817212597,98.36229183936442,1.6377081606355826,39.50681580972663,54.050161829357,4.161808271746809,2.281214089169557,,,,,,
district,Bau,1504,1889,2129,2555,2435,2396,2068,1771,1625,1832,1903,1669,1331,912,652,333,165,170,1397,1764,1964,2222,2026,2141,1869,1641,1557,1645,1747,1536,1164,936,684,481,264,266,51.93283057576505,48.06716942423494,20.22491119427084,70.53739338563531,9.23769542009384,82.80640465793304,16.79573022804464,0.180494905385735,0.2173702086365842,11.842030279429364,72.98596204623597,13.713124252037307,0.0265942290522956,0.6705544896757404,0.7617347035693255,97.87626085139524,2.1237391486047525,40.42746052192167,52.35198702351988,5.445827966222986,1.77472448833548,,,,,,
district,Lundu,1036,1477,1629,1521,1346,1548,1432,1381,1220,1246,1096,982,720,547,388,234,90,63,952,1334,1459,1326,1062,1101,1057,1041,996,1061,955,972,737,572,372,286,129,111,53.63362107589832,46.36637892410168,23.558051315750173,68.10239254458018,8.339556139669643,89.2487424955379,10.274217102060684,0.0811293201362972,0.3959110822651306,40.09379013710087,49.73565518683354,7.786970937005287,0.0537650467457212,1.6039905612473493,0.7258281310672362,92.04277308163329,7.957226918366738,34.21381681775555,58.31509846827133,5.3102532041262895,2.160831509846827,,,,,,
district,Samarahan,4139,5141,5164,6532,9849,5281,4700,4629,4057,3556,2793,2197,1610,1172,647,444,197,104,3893,4951,4806,7893,12993,5074,4846,4877,4122,3384,2719,2077,1609,1172,692,533,257,174,48.49552555267999,51.50447444732001,21.89984721399395,73.89697857877835,4.203174207227713,81.0894960036574,18.137247174183784,0.5493985780272098,0.2238582441316034,49.63908203673101,36.34202238782701,12.948614012659412,0.3928783012690592,0.2829659193664058,0.394437342147111,98.89464001746126,1.1053599825387423,46.25711148817247,49.28036730212596,2.94640183651063,1.5161193731909373,,,,,,
district,Serian,2356,3308,3787,3943,3281,3133,3128,2729,2739,2942,3050,2805,2401,1871,1165,708,261,211,2108,3156,3472,3617,2940,2830,2777,2575,2722,2956,2952,2655,2337,1752,1170,757,389,362,51.342199308688265,48.657800691311735,21.30997715156131,68.55937664772395,10.130646200714748,82.52102446483181,17.21616972477064,0.1481269113149847,0.1146788990825688,15.95758392407288,68.88042650418889,14.260940886988108,0.0703028882769933,0.7510691897592127,0.0796766067139258,98.08658972406116,1.9134102759388365,31.673069477947525,60.20727240239435,6.373030763274666,1.746627356383454,,,,,,
